entity_a_id,entity_a_source,entity_b_id,entity_b_source,Cannonical_Name,type,entity_a_name,entity_b_name,relation_type
entity_66,OC-ORACLE,entity_172,OC-SAP,Products,Parent,PRODUCTS,PRODUCT,inter_sub_typed
entity_152,OC-MYSQL,entity_172,OC-SAP,Products,Parent,PRODUCTS,PRODUCT,inter_sub_typed
entity_67,OC-ORACLE,entity_153,OC-MYSQL,Product ID,Child,PRODUCT ID,PRODUCT CODE,inter_identical
entity_67,OC-ORACLE,entity_173,OC-SAP,Product ID,Child,PRODUCT ID,PRODUCT ID,inter_identical
entity_153,OC-MYSQL,entity_173,OC-SAP,Product ID,Child,PRODUCT CODE,PRODUCT ID,inter_identical
entity_68,OC-ORACLE,entity_154,OC-MYSQL,Product Name,Child,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_68,OC-ORACLE,entity_176,OC-SAP,Product Name,Child,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_154,OC-MYSQL,entity_176,OC-SAP,Product Name,Child,PRODUCT NAME,PRODUCT NAME,inter_identical
entity_69,OC-ORACLE,entity_160,OC-MYSQL,Product Unit / Buy Price,Child,UNIT PRICE,BUY PRICE,inter_identical
entity_70,OC-ORACLE,entity_158,OC-MYSQL,Product Details,Child,PRODUCT DETAILS,PRODUCT DESCRIPTION,inter_identical
entity_70,OC-ORACLE,entity_177,OC-SAP,Product Details,Child,PRODUCT DETAILS,PRODUCT DESCRIPTION,inter_identical
entity_158,OC-MYSQL,entity_177,OC-SAP,Product Details,Child,PRODUCT DESCRIPTION,PRODUCT DESCRIPTION,inter_identical
entity_155,OC-MYSQL,entity_180,OC-SAP,Product Line Name,Child,PRODUCT LINE,LINE NAME,inter_identical
entity_152,OC-MYSQL,entity_147,OC-MYSQL,Products Satelite Join Productlines,Parent,PRODUCTS,PRODUCTLINES,intra_joined
entity_155,OC-MYSQL,entity_148,OC-MYSQL,Products Satelite Join Productlines Child,Child,PRODUCT LINE,PRODUCT LINE,intra_joined
entity_71,OC-ORACLE,entity_151,OC-MYSQL,Product Image,Child,PRODUCT IMAGE,IMAGE,inter_sub_typed
entity_149,OC-MYSQL,entity_181,OC-SAP,Product Line Description,Child,TEXT DESCRIPTION,LINE DESCRIPTION,inter_identical
entity_66,OC-ORACLE,entity_48,OC-ORACLE,Products Satelite Join Inventory,Parent,PRODUCTS,INVENTORY,intra_joined
entity_67,OC-ORACLE,entity_51,OC-ORACLE,Products Satelite Join Inventory Child,Child,PRODUCT ID,PRODUCT ID,intra_joined
entity_52,OC-ORACLE,entity_159,OC-MYSQL,Product Inventory,Child,PRODUCT INVENTORY,QUANTITY IN STOCK,inter_identical
entity_52,OC-ORACLE,entity_183,OC-SAP,Product Inventory,Child,PRODUCT INVENTORY,CAPACITY,inter_identical
entity_159,OC-MYSQL,entity_183,OC-SAP,Product Inventory,Child,QUANTITY IN STOCK,CAPACITY,inter_identical
entity_60,OC-ORACLE,entity_134,OC-MYSQL,Orders,Parent,ORDERS,ORDERS,inter_sub_typed
entity_60,OC-ORACLE,entity_185,OC-SAP,Orders,Parent,ORDERS,CUSTOMER ORDER,inter_sub_typed
entity_134,OC-MYSQL,entity_185,OC-SAP,Orders,Parent,ORDERS,CUSTOMER ORDER,inter_sub_typed
entity_61,OC-ORACLE,entity_135,OC-MYSQL,Order ID,Child,ORDER ID,ORDER NUMBER,inter_identical
entity_61,OC-ORACLE,entity_186,OC-SAP,Order ID,Child,ORDER ID,ORDER ID,inter_identical
entity_135,OC-MYSQL,entity_186,OC-SAP,Order ID,Child,ORDER NUMBER,ORDER ID,inter_identical
entity_62,OC-ORACLE,entity_136,OC-MYSQL,Order Datetime,Child,ORDER DATE TIME,ORDER DATE,inter_identical
entity_63,OC-ORACLE,entity_141,OC-MYSQL,Order Customer ID,Child,CUSTOMER ID,CUSTOMER NUMBER,inter_identical
entity_63,OC-ORACLE,entity_188,OC-SAP,Order Customer ID,Child,CUSTOMER ID,CUSTOMER ID,inter_identical
entity_141,OC-MYSQL,entity_188,OC-SAP,Order Customer ID,Child,CUSTOMER NUMBER,CUSTOMER ID,inter_identical
entity_64,OC-ORACLE,entity_139,OC-MYSQL,Order Status,Child,ORDER STATUS,STATUS,inter_identical
entity_53,OC-ORACLE,entity_128,OC-MYSQL,Order Items,Parent,ORDER ITEMS,ORDER DETAILS,inter_sub_typed
entity_60,OC-ORACLE,entity_53,OC-ORACLE,Order Satelite Join Order Items,Parent,ORDERS,ORDER ITEMS,intra_joined
entity_61,OC-ORACLE,entity_54,OC-ORACLE,Order Satelite Join Order Items Child,Child,ORDERS ORDER ID,ORDER ITEMS ORDER ID,intra_joined
entity_134,OC-MYSQL,entity_128,OC-MYSQL,Order Satelite Join  Order Items,Parent,ORDERS,ORDER DETAILS,intra_joined
entity_135,OC-MYSQL,entity_129,OC-MYSQL,Order Satelite Join Order Items Child,Child,"ORDER ORDER NUMBER	","ORDER DETAILS ORDER NUMBER	",intra_joined
entity_54,OC-ORACLE,entity_129,OC-MYSQL,Order Details Order ID,Child,ORDER ID,ORDER NUMBER,inter_identical
entity_55,OC-ORACLE,entity_133,OC-MYSQL,Order Details Line Item ID,Child,LINE ITEM ID,ORDER LINE NUMBER,inter_identical
entity_55,OC-ORACLE,entity_175,OC-SAP,Order Details Line Item ID,Child,LINE ITEM ID,LINE ID,inter_identical
entity_133,OC-MYSQL,entity_175,OC-SAP,Order Details Line Item ID,Child,ORDER LINE NUMBER,LINE ID,inter_identical
entity_56,OC-ORACLE,entity_130,OC-MYSQL,Order Details Product ID,Child,PRODUCT ID,PRODUCT CODE,inter_identical
entity_57,OC-ORACLE,entity_132,OC-MYSQL,Order Details Unit Price,Child,UNIT PRICE,PRICE EACH,inter_identical
entity_57,OC-ORACLE,entity_201,OC-SAP,Order Details Unit Price,Child,UNIT PRICE,UNIT COST,inter_identical
entity_132,OC-MYSQL,entity_201,OC-SAP,Order Details Unit Price,Child,PRICE EACH,UNIT COST,inter_identical
entity_58,OC-ORACLE,entity_131,OC-MYSQL,Order Quantity,Child,QUANTITY,QUANTITY ORDERED,inter_identical
entity_58,OC-ORACLE,entity_204,OC-SAP,Order Quantity,Child,QUANTITY,QUANTITY ORDERED,inter_identical
entity_131,OC-MYSQL,entity_204,OC-SAP,Order Quantity,Child,QUANTITY ORDERED,QUANTITY ORDERED,inter_identical
